,Dist Name,January,February,March,April,May,June,July,August,September,October,November,December,Unnamed: 0,STATE/UT,DISTRICT,avg kharif,avg rabi,summer avg,whole year avg
0,SRIKAKULAM,25.61,27.005000000000003,29.580000000000002,30.825000000000003,34.595,33.925,30.165,32.475,30.130000000000003,30.615000000000002,27.71,24.545,543,ANDHRA PRADESH,SRIKAKULAM,191.42,50.8,63.1,97.1
1,VISAKHAPATNAM,22.45726924712888,24.835,28.22,29.755,31.365000000000002,31.305,27.14,29.435,28.06,27.155,23.630000000000003,23.805,544,ANDHRA PRADESH,VISAKHAPATNAM,175.74,49.95714285714286,72.875,93.39166666666668
2,EAST GODAVARI,25.165,26.470000000000002,31.115,31.59,34.435,32.900000000000006,30.965,30.055,31.145000000000003,29.76,28.155,24.810000000000002,537,ANDHRA PRADESH,EAST GODAVARI,180.58,46.6857142857143,60.325,92.16666666666664
3,WEST GODAVARI,24.555,28.815,27.472238135955536,32.41,35.614999999999995,33.97,32.44,31.83,30.965000000000003,29.64,28.009999999999998,27.39,538,ANDHRA PRADESH,WEST GODAVARI,196.34,45.81428571428571,54.825,96.7
4,KRISHNA,23.73372758326217,28.57,31.485,33.18,36.561499356499354,32.81,32.625,31.085,29.744999999999997,30.845,26.987847667950362,26.32,540,ANDHRA PRADESH,KRISHNA,173.12000000000003,39.84285714285714,48.325,85.59166666666668
5,GUNTUR,27.785,27.825000000000003,32.405,32.46,38.54,33.115,32.075,32.14,29.385,31.02,27.2,26.604999999999997,539,ANDHRA PRADESH,GUNTUR,137.38,38.58571428571428,42.825,72.625
6,KURNOOL,28.384999999999998,26.232325085324234,31.83,32.90088210347753,33.78,31.07,31.365000000000002,29.325000000000003,29.155,29.685000000000002,27.82,28.81,559,ANDHRA PRADESH,KURNOOL,113.16,23.957142857142856,39.05,56.63333333333333
7,CHITTOOR,26.515,27.65,29.57,30.335,33.995,31.950000000000003,31.40580398812049,29.779999999999998,29.39,28.675,25.89,23.305,557,ANDHRA PRADESH,CHITTOOR,116.86,59.12857142857143,42.425,74.85
8,CACHAR,19.975,22.07,26.0,28.439999999999998,30.699999999999996,30.155,29.099999999999998,31.005,31.47,30.560000000000002,24.395,22.255,19,ASSAM,CACHAR,414.46,103.2714285714286,337.32500000000005,249.9333333333334
9,DARRANG,20.044999999999998,22.255000000000003,25.880000000000003,29.945882103477526,30.695,30.009999999999998,31.09,32.865,31.98,29.88,24.975,22.695,20,ASSAM,DARRANG,270.9,54.10000000000001,240.5,163.15
10,DIBRUGARH,20.665,22.700431914893617,25.28,25.560000000000002,28.845,30.119999999999997,30.7,32.49,29.264999999999997,29.107888888888887,24.445,21.22,29,ASSAM,DIBRUGARH,357.66,87.54285714285716,260.775,213.05
11,GOALPARA,21.88,20.375,25.835,29.294999999999998,30.775,30.53,30.980000000000004,31.75,29.995,29.89,25.18,22.915,21,ASSAM,GOALPARA,373.56,66.48571428571428,303.825,214.6083333333333
12,KAMRUP,21.185,21.035,27.285,31.556386961948164,30.439999999999998,31.765,30.255000000000003,31.515,29.59,29.157888888888884,26.39,21.93,22,ASSAM,KAMRUP,250.86,53.18571428571428,217.3,151.11666666666665
13,KARBI ANGLONG,18.525,19.35,24.215,26.369999999999997,27.68,29.265,29.674999999999997,29.56860331632653,28.82,28.07,24.852847667950364,20.41,38,ASSAM,KARBI ANGLONG,193.42,47.8,131.1,111.75
